service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20200406,20200621
1101,0,0,0,0,0,0,0,20200406,20200621
1201,0,0,0,0,0,0,0,20200406,20200621
139901,0,0,0,0,0,0,0,20200406,20200621
152201,0,0,0,0,0,0,0,20200406,20200621
152301,0,0,0,0,0,0,0,20200406,20200621
152302,0,0,0,0,0,0,0,20200406,20200621
152303,0,0,0,0,0,0,0,20200406,20200621
155601,0,0,0,0,0,0,0,20200406,20200621
1901,0,0,0,0,0,0,0,20200406,20200621
2,0,0,0,0,0,1,0,20200406,20200621
201,0,0,0,0,0,0,0,20200406,20200621
259701,0,0,0,0,0,0,0,20200406,20200621
259702,0,0,0,0,0,0,0,20200406,20200621
259703,0,0,0,0,0,0,0,20200406,20200621
3,0,0,0,0,0,0,1,20200406,20200621
32603,0,0,0,0,0,0,0,20200406,20200621
4901,0,0,0,0,0,0,0,20200406,20200621
4902,0,0,0,0,0,0,0,20200406,20200621
4903,0,0,0,0,0,0,0,20200406,20200621
59101,0,0,0,0,0,0,0,20200406,20200621
62201,0,0,0,0,0,0,0,20200406,20200621
75401,0,0,0,0,0,0,0,20200406,20200621
801,0,0,0,0,0,0,0,20200406,20200621
